scale,component,kind,score
s60,reflang,latent_NGT_NL,2.6391270917693275
s20,reflang,latent_NGT_NL,1.8378292095749458
s60,joint,latent_NGT_NL,1.8143367338759697
s10,reflang,latent_NGT_NL,1.4481823471861144
s60,language,latent_NGT_NL,1.4024571993746089
s30,reflang,latent_NGT_NL,1.3480434568711666
s30,language,latent_NGT_NL,1.2954184243810045
s60,gaze,latent_NGT_NL,1.1430286275977355
s30,gaze,latent_NGT_NL,1.1144678323048283
s60,attention,latent_NGT_NL,0.9293234923917413
s20,language,latent_NGT_NL,0.9199809806734326
s20,gaze,latent_NGT_NL,0.8601468675320205
s10,gaze,latent_NGT_NL,0.8497272564857586
s5,reflang,latent_NGT_NL,0.8264287614848269
s60,language,latent_high_low,0.8072910641718533
s30,language,latent_high_low,0.8015493935169126
s30,attention,latent_NGT_NL,0.7996966562982691
s20,touch,latent_NGT_NL,0.7046681838205103
s20,attention,latent_NGT_NL,0.6583485453181439
s5,language,latent_NGT_NL,0.613661455296006
s10,language,latent_high_low,0.6104294206274377
s5,touch,latent_NGT_NL,0.6095577268862573
s5,gaze,latent_NGT_NL,0.5848018041043588
s10,attention,latent_NGT_NL,0.5572585146337944
s10,language,latent_NGT_NL,0.4757119658751488
s30,joint,latent_NGT_NL,0.4681691381513979
s60,touch,latent_NGT_NL,0.4624635146478399
s30,touch,latent_NGT_NL,0.45541653551860795
s5,attention,latent_NGT_NL,0.42825571211833874
s20,language,latent_high_low,0.3894548981591859
s60,reflang,latent_high_low,0.38626946449870353
s30,reflang,latent_high_low,0.3835267455427628
s30,joint,latent_high_low,0.3395438253690999
s5,reflang,latent_high_low,0.27526464929662686
s20,reflang,latent_high_low,0.26751541449594973
s60,gaze,latent_high_low,0.2656098075934997
s10,reflang,latent_high_low,0.26209341022746646
s5,joint,latent_NGT_NL,0.24569270017485803
s10,joint,latent_high_low,0.24078849653755874
s10,joint,latent_NGT_NL,0.230569407990211
s20,joint,latent_high_low,0.21530556085889951
s5,language,latent_high_low,0.2106576653985941
s20,gaze,latent_high_low,0.18056865572530323
s5,joint,latent_high_low,0.17309919258788928
s60,touch,latent_high_low,0.14728494645223303
s30,gaze,latent_high_low,0.13977707778707704
s60,joint,latent_high_low,0.11613978824890386
s10,gaze,latent_high_low,0.09847728616918264
s5,gaze,latent_high_low,0.0958302018451819
s10,touch,latent_high_low,0.08371243325763353
s20,joint,latent_NGT_NL,0.0688536327836292
s20,touch,latent_high_low,0.0640115304966351
s30,touch,latent_high_low,0.055916277959687836
s5,touch,latent_high_low,0.029531993494977475
s60,attention,latent_high_low,0.019528392955889484
s10,touch,latent_NGT_NL,0.016316272617126214
s20,joint,transition_high_low,0.011496140772360917
s20,joint,transition_S1_S2,0.009312176847628435
s30,attention,latent_high_low,0.008445825202643422
s30,joint,transition_high_low,0.007567549797754021
s5,joint,transition_high_low,0.006010582814240524
s10,joint,transition_high_low,0.005784436691126072
s10,joint,transition_S1_S2,0.004496208820376496
s5,joint,transition_S1_S2,0.004437197086356296
s30,joint,transition_S1_S2,0.0039290261271161565
s10,attention,latent_high_low,0.0032523202121867213
s5,attention,latent_high_low,0.002982147507852098
s20,attention,latent_high_low,0.002782412529777559
s60,joint,transition_high_low,0.0014133426539967688
s60,joint,transition_S1_S2,0.000678649206704995
