Session,Language,Child_Hearing,language_naming_group,sessions,mean_events_per_min
S1,NGT,Deaf,high,1,4.298507462686567
S1,NGT,Deaf,low,1,2.8898254063816977
S1,NGT,Hearing,high,3,6.210840102854085
S1,NGT,Hearing,low,5,2.3656081565556932
S1,NL,Comparison,high,2,9.035179569608097
S1,NL,Comparison,low,7,4.302704138761657
S1,NL,Hearing,high,1,7.286356821589205
S1,NL,Hearing,low,1,5.446293494704993
S1,NL,Unknown,high,1,6.547020818377603
S2,NGT,Deaf,high,2,3.6834242716453596
S2,NGT,Deaf,low,2,2.0628355640044185
S2,NGT,Hearing,high,3,5.22159552511069
S2,NGT,Hearing,low,2,1.691785555392232
S2,NL,Comparison,high,5,7.028174117079277
S2,NL,Comparison,low,1,3.817097415506959
S2,NL,Hearing,low,2,5.341900431110848
S2,NL,Unknown,high,1,6.212664277180406
