session_idx,participant_file,Participant,Language,model_family,scale,window_sec,component,modality,token_step,tokens_in_session,center_progress,anchor_sec,approx_start_sec,approx_end_sec,event_phase,nearest_naming_distance_sec,naming_events,naming_events_per_min,code,z1,z2,q1,q2,CG_gaze_object,CG_gaze_cpa,CG_gaze_other,CG_touch,CG_attention_beh,CG_reflang,Child_gaze_object,Child_gaze_cpa,Child_gaze_other,Child_touch,Child_attention_beh,Child_reflang,dyadic_object_gaze_overlap,dyadic_cpa_gaze_overlap,dyadic_other_gaze_overlap,CG_language,Child_language,language_naming_group,Session,Child_Hearing,group,Age_Months,Gender
0,P01_S1_NGT_JR_BH_MM.eaf,P01,NGT,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,1608,0.0012414649827405,0.5,0.0,1.0,far,55.0889892578125,39,5.810055865921788,1,-2.2936410903930664,-1.5918885469436646,-0.5152609348297119,-0.5455045700073242,0.75,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,high,S1,Hearing,BiBi,34.65,M
1,P01_S2_NGT_JR_AD_BH_MM.eaf,P01,NGT,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2380,0.0008392782183364,0.5,0.0,1.0,during,0.0,58,5.841376416281997,2,-4.2053985595703125,-0.1516656577587127,-3.4327147006988525,1.4531491994857788,0.5,0.75,0.0,0.0,0.25,0.0,0.25,0.0,1.0,1.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,high,S2,Hearing,BiBi,40.26,M
2,P01_S1_NL_merged_MM_MM.eaf,P01,NL,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,1980,0.0010085728717967,0.5,0.0,1.0,far,6.28399658203125,45,5.446293494704993,1,-2.092861652374268,-1.2176249027252195,-0.5152609348297119,-0.5455045700073242,0.5,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,low,S1,Hearing,BiBi,34.65,M
3,P01_S2_NL_NS_JS_AD_JS_MM_MM.eaf,P01,NL,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2622,0.0007619047537446,0.5,0.0,1.0,far,27.81695556640625,55,5.0285714285714285,6,-0.4053991138935089,2.1263082027435303,0.1451353132724762,0.6918189525604248,0.0,1.0,0.0,0.0,0.75,0.0,0.75,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,low,S2,Hearing,BiBi,40.26,M
4,P02_S2_NGT_JS_MMAttentTry.eaf,P02,NGT,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2321,0.0008605851908214,0.5,0.0,1.0,far,34.99200439453125,16,1.6523235800344234,5,3.711336135864258,-0.3198162913322449,2.9383668899536133,-0.3272527158260345,0.75,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,low,S2,Deaf,Signer,58.74,F
6,P03_S1_NGT-MM_JR_MM.eaf,P03,NGT,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,3132,0.0006379585247486,0.5,0.0,1.0,far,27.95001220703125,34,2.602870813397129,7,0.7467933297157288,-0.769088625907898,1.1396830081939695,-0.7363004088401794,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,S1,Hearing,Signer,16.0,M
7,P04_S1_NGT_IS_merged_MM.eaf,P04,NGT,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2223,0.0008984726155176,0.5,0.0,1.0,far,99.83697509765624,16,1.7250673854447438,2,-3.664397716522217,-0.4944703578948974,-3.4327147006988525,1.4531491994857788,0.0,1.0,0.5,0.0,0.0,0.0,0.5,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,low,S1,Hearing,Signer,35.03,M
8,P04_S2_NGT_JR_MM_JS_BH_MM.eaf,P04,NGT,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2711,0.0007369196973741,0.5,0.0,1.0,far,52.157958984375,25,2.210759027266028,4,-2.4284794330596924,0.2377883195877075,-1.773471117019653,0.9603054523468018,0.75,0.5,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,S2,Hearing,Signer,41.48,M
9,P05_S1_NGT_merged_Restored_AD_MM_JS_MM_JS.eaf,P05,NGT,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2452,0.0008146639447659,0.5,0.0,1.0,far,41.84100341796875,29,2.835030549898167,2,-3.700177192687988,2.7458081245422363,-3.4327147006988525,1.4531491994857788,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,low,S1,Hearing,BiBi,54.0,M
10,P05_S2_NGT_JR_ADNEW_BH_MM.eaf,P05,NGT,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2248,0.0008884940179996,0.5,0.0,1.0,far,2.261962890625,11,1.1728120835184364,7,2.09959077835083,-2.714229106903076,1.1396830081939695,-0.7363004684448242,1.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,low,S2,Hearing,BiBi,59.81,M
